week,net_sales,orders,promotion,holiday_period,price_index
2023-09-04,758120.91,8181,0,0,99.99
2023-09-11,830429.97,9027,0,0,100.21
2023-09-18,837263.38,9180,0,0,100.22
2023-09-25,850643.58,9264,0,0,100.34
2023-10-02,946366.48,10221,1,0,100.28
2023-10-09,862541.25,9498,0,0,100.14
2023-10-16,822887.16,9102,0,0,100.02
2023-10-23,823499.47,9001,0,0,99.93
2023-10-30,899689.59,9877,1,0,100.19
2023-11-06,910787.85,10024,0,1,100.09
2023-11-13,905558.38,9956,0,1,100.19
2023-11-20,886073.51,9693,0,1,100.08
2023-11-27,899115.25,9833,0,1,100.2
2023-12-04,831118.17,9086,0,1,100.24
2023-12-11,887237.83,9534,0,1,100.22
2023-12-18,803189.35,8800,0,1,100.22
2023-12-25,795600.47,8512,0,1,100.14
2024-01-01,886385.34,9555,1,0,100.19
2024-01-08,839765.53,9258,0,0,100.14
2024-01-15,830270.52,9109,0,0,99.99
2024-01-22,856479.06,9458,0,0,99.84
2024-01-29,897640.28,9730,0,0,99.86
2024-02-05,837606.65,8989,0,0,100.05
2024-02-12,870975.0,9443,0,0,100.07
2024-02-19,841530.68,9157,0,0,100.05
2024-02-26,846884.79,9213,0,0,100.09
2024-03-04,887625.15,9761,0,0,100.24
2024-03-11,945119.92,10237,1,0,100.27
2024-03-18,925779.1,10098,1,0,100.22
2024-03-25,863866.0,9291,0,0,100.35
2024-04-01,827496.44,9040,0,0,100.41
2024-04-08,790753.17,8595,0,0,100.59
2024-04-15,769901.52,8294,0,0,100.61
2024-04-22,732212.85,7935,0,0,100.46
2024-04-29,787255.14,8539,0,0,100.3
2024-05-06,757409.73,8206,0,0,100.5
2024-05-13,828764.18,9185,1,0,100.71
2024-05-20,785167.89,8525,0,0,100.68
2024-05-27,776163.24,8412,0,0,100.64
2024-06-03,809538.35,8590,0,0,100.81
2024-06-10,789439.86,8491,0,0,100.68
2024-06-17,758658.55,8220,0,0,100.57
2024-06-24,776349.9,8370,0,0,100.65
2024-07-01,776610.84,8580,0,0,100.6
2024-07-08,736972.88,7994,0,0,100.6
2024-07-15,783910.43,8650,0,0,100.58
2024-07-22,805284.99,8759,0,0,100.62
2024-07-29,785143.73,8538,0,0,100.79
2024-08-05,835472.53,9072,0,0,100.8
2024-08-12,914743.3,9943,1,0,100.88
2024-08-19,851067.39,9423,0,0,100.63
2024-08-26,887064.49,9410,1,0,100.63
2024-09-02,822063.78,8735,0,0,100.53
2024-09-09,886587.56,9583,0,0,100.38
2024-09-16,873884.64,9500,0,0,100.28
2024-09-23,893683.35,9783,0,0,100.24
2024-09-30,925623.43,10108,0,0,100.35
2024-10-07,924988.39,10016,0,0,100.19
2024-10-14,1002452.56,10998,1,0,100.19
2024-10-21,991075.67,10876,1,0,100.13
2024-10-28,907386.28,9881,0,0,100.09
2024-11-04,948550.69,10407,0,1,100.21
2024-11-11,984939.04,10733,0,1,100.28
2024-11-18,983131.28,10630,0,1,100.44
2024-11-25,996191.68,10898,0,1,100.42
2024-12-02,1009370.33,10982,0,1,100.34
2024-12-09,986003.72,10718,0,1,100.31
2024-12-16,956302.14,10542,0,1,100.34
2024-12-23,1035907.93,11015,1,1,100.36
2024-12-30,968835.47,10389,0,1,100.23
2025-01-06,869117.55,9328,0,0,100.24
2025-01-13,899226.31,9738,0,0,100.27
2025-01-20,870493.76,9436,0,0,100.57
2025-01-27,858755.66,9184,0,0,100.79
2025-02-03,948788.79,10214,1,0,100.69
2025-02-10,883120.78,9513,0,0,100.66
2025-02-17,866054.72,9659,0,0,100.48
2025-02-24,906709.81,10036,0,0,100.41
2025-03-03,869274.2,9407,0,0,100.45
2025-03-10,842577.81,9122,0,0,100.59
2025-03-17,827517.95,8880,0,0,100.51
2025-03-24,865701.81,9219,0,0,100.43
2025-03-31,895838.71,9726,0,0,100.17
2025-04-07,881665.9,9484,0,0,100.15
2025-04-14,942620.39,10237,1,0,100.02
2025-04-21,947754.4,10142,1,0,99.96
2025-04-28,845701.04,9116,0,0,99.85
2025-05-05,849548.59,9249,0,0,99.84
2025-05-12,815049.77,8896,0,0,99.63
2025-05-19,832328.91,9089,0,0,99.46
2025-05-26,866427.31,9286,1,0,99.71
2025-06-02,852286.93,9349,0,0,99.56
2025-06-09,833839.54,8983,0,0,99.43
2025-06-16,862706.15,9441,0,0,99.65
2025-06-23,868334.32,9437,0,0,99.99
2025-06-30,879659.39,9424,0,0,99.85
2025-07-07,849916.41,9207,0,0,99.81
2025-07-14,884082.11,9646,1,0,99.85
2025-07-21,920176.77,10063,1,0,100.06
2025-07-28,903998.88,9812,0,0,99.94
2025-08-04,897863.2,9913,0,0,99.91
2025-08-11,910932.65,10002,0,0,100.0
2025-08-18,946479.85,10262,0,0,100.06
2025-08-25,934786.04,10236,0,0,100.01
2025-09-01,925249.27,10250,0,0,99.99
2025-09-08,908013.84,10066,0,0,99.83
2025-09-15,876070.33,9400,0,0,99.8
2025-09-22,937786.68,10101,0,0,99.77
2025-09-29,1029306.37,11337,1,0,99.8
2025-10-06,946791.43,10185,0,0,99.73
2025-10-13,926260.59,9936,0,0,99.79
2025-10-20,911965.54,9864,0,0,99.91
2025-10-27,904335.21,9872,0,0,99.93
2025-11-03,968380.96,10516,0,1,99.97
2025-11-10,925732.83,9997,0,1,99.98
2025-11-17,975415.68,10535,0,1,99.98
2025-11-24,972830.15,10503,0,1,99.89
2025-12-01,1024311.42,11046,0,1,99.93
2025-12-08,1041943.56,11554,0,1,99.92
2025-12-15,1095464.58,11937,0,1,100.17
2025-12-22,1015588.74,11128,0,1,100.36
2025-12-29,1041306.0,11270,0,1,100.4
2026-01-05,1029078.12,11167,1,0,100.31
2026-01-12,954988.72,10309,0,0,100.18
2026-01-19,1002279.32,10629,1,0,100.32
2026-01-26,971876.48,10426,0,0,100.35
2026-02-02,966682.31,10326,0,0,100.41
2026-02-09,1066654.82,11369,1,0,100.2
2026-02-16,1029550.3,11071,1,0,100.31
2026-02-23,986861.34,10859,0,0,100.36
2026-03-02,946625.53,10285,0,0,100.23
2026-03-09,939294.56,10339,0,0,100.18
2026-03-16,900552.79,9830,0,0,100.21
2026-03-23,931011.04,10198,0,0,100.21
2026-03-30,961531.0,10361,0,0,100.18
2026-04-06,991064.71,10825,1,0,100.17
2026-04-13,947536.44,10372,0,0,100.14
2026-04-20,916387.26,9903,0,0,100.15
2026-04-27,925806.22,10119,0,0,100.33
2026-05-04,961535.15,10508,1,0,100.02
2026-05-11,898912.63,9716,0,0,99.99
2026-05-18,875432.96,9403,0,0,100.01
2026-05-25,889751.72,9553,0,0,100.05
2026-06-01,933105.5,10151,0,0,100.01
2026-06-08,895235.28,9764,0,0,99.8
2026-06-15,944518.91,10187,0,0,99.83
2026-06-22,923337.8,10039,0,0,100.04
2026-06-29,934723.7,10217,0,0,99.86
2026-07-06,932303.07,10196,0,0,99.96
2026-07-13,983095.83,10841,1,0,99.92
2026-07-20,916461.82,10089,0,0,99.91
2026-07-27,913731.75,9832,0,0,99.79
2026-08-03,979976.07,10820,1,0,99.75
2026-08-10,949869.28,10272,0,0,99.9
2026-08-17,1080926.88,11854,1,0,99.97
2026-08-24,1020205.68,11096,0,0,100.18
