week,revenue,meta_spend,paid_search_spend,youtube_spend,tv_spend,promotion,holiday_period,price_index,conversions
2023-09-04,758120.91,50241.88,61667.49,32618.95,31874.56,0,0,99.99,8181
2023-09-11,830429.97,48320.6,77557.59,27356.98,29346.45,0,0,100.21,9027
2023-09-18,837263.38,60349.67,71492.99,31727.65,39287.28,0,0,100.22,9180
2023-09-25,850643.58,53444.62,55486.53,25401.43,33883.24,0,0,100.34,9264
2023-10-02,946366.48,63989.92,60121.32,24540.65,37870.16,1,0,100.28,10221
2023-10-09,862541.25,49889.85,50909.92,31835.81,22726.12,0,0,100.14,9498
2023-10-16,822887.16,51623.55,47962.19,18201.56,12186.92,0,0,100.02,9102
2023-10-23,823499.47,44475.27,48687.72,9746.86,15989.26,0,0,99.93,9001
2023-10-30,899689.59,60186.56,51131.38,28361.34,22197.2,1,0,100.19,9877
2023-11-06,910787.85,35397.82,54562.59,31700.4,30031.46,0,1,100.09,10024
2023-11-13,905558.38,45830.51,67000.62,15781.11,30888.03,0,1,100.19,9956
2023-11-20,886073.51,35905.97,56877.55,7230.49,38588.29,0,1,100.08,9693
2023-11-27,899115.25,42841.49,68487.15,14759.55,29218.65,0,1,100.2,9833
2023-12-04,831118.17,38098.35,88458.12,14592.9,16535.02,0,1,100.24,9086
2023-12-11,887237.83,44778.68,74415.61,15112.98,20045.18,0,1,100.22,9534
2023-12-18,803189.35,37421.42,81619.93,10859.2,14845.65,0,1,100.22,8800
2023-12-25,795600.47,22624.05,70335.0,19997.56,2000.0,0,1,100.14,8512
2024-01-01,886385.34,41889.2,61636.27,20678.4,21028.92,1,0,100.19,9555
2024-01-08,839765.53,30548.95,53186.84,11783.3,38421.77,0,0,100.14,9258
2024-01-15,830270.52,38372.04,48702.9,24145.02,45879.58,0,0,99.99,9109
2024-01-22,856479.06,55825.59,42416.46,32443.36,46826.52,0,0,99.84,9458
2024-01-29,897640.28,52604.86,49903.73,24645.16,34713.74,0,0,99.86,9730
2024-02-05,837606.65,45479.15,43232.78,23712.93,19371.91,0,0,100.05,8989
2024-02-12,870975.0,44597.98,56411.89,26246.44,8880.74,0,0,100.07,9443
2024-02-19,841530.68,52195.32,63354.51,31468.61,14519.03,0,0,100.05,9157
2024-02-26,846884.79,42641.81,62828.41,20995.01,16902.71,0,0,100.09,9213
2024-03-04,887625.15,44659.26,61712.62,31495.12,30899.03,0,0,100.24,9761
2024-03-11,945119.92,55443.54,67916.37,29472.45,39151.71,1,0,100.27,10237
2024-03-18,925779.1,58233.13,62297.66,41111.52,37539.42,1,0,100.22,10098
2024-03-25,863866.0,44615.38,67821.18,31126.86,30936.22,0,0,100.35,9291
2024-04-01,827496.44,21201.5,45957.08,40135.07,32207.6,0,0,100.41,9040
2024-04-08,790753.17,36773.33,51374.48,25755.68,26807.85,0,0,100.59,8595
2024-04-15,769901.52,33346.5,36870.27,33391.61,15052.05,0,0,100.61,8294
2024-04-22,732212.85,34931.39,37765.21,30968.97,8061.54,0,0,100.46,7935
2024-04-29,787255.14,43619.47,55971.87,23723.46,16017.95,0,0,100.3,8539
2024-05-06,757409.73,19185.67,54586.47,27485.83,18360.01,0,0,100.5,8206
2024-05-13,828764.18,38220.15,47408.97,31085.19,27055.39,1,0,100.71,9185
